laser_image,pixel_x,pixel_y,Xc_mm,Yc_mm,Zc_mm
Laser2.png,3122.0,1525.2115478515625,2.245316435608778,-1.7434556346318646,97.86353738970459
Laser2.png,3123.0,1524.87060546875,2.2497130976719952,-1.7449623276753765,97.86340027539931
Laser2.png,3124.0,1524.7938232421875,2.254125075254585,-1.7453113880372508,97.86392071300648
Laser2.png,3125.0,1524.406005859375,2.2585192308947413,-1.747023624007946,97.86366688202796
Laser2.png,3126.0,1524.4862060546875,2.2629401215835743,-1.7466846137887506,97.86457812262837
Laser2.png,3127.0,1524.935302734375,2.26738254859295,-1.744729205929513,97.86640752482104
Laser2.png,3128.0,1525.2427978515625,2.271816960956625,-1.7433941731342184,97.86788457650516
Laser2.png,3129.0,1525.512939453125,2.2762495277108563,-1.7422227878204002,97.86926872606453
Laser2.png,3130.0,1525.831787109375,2.2806848628726706,-1.7408378670458902,97.87077415759576
Laser2.png,3131.0,1526.1500244140625,2.2851202985827648,-1.7394556108549926,97.87227809770415
Laser2.png,3132.0,1525.6583251953125,2.2895085180075374,-1.7416231697023525,97.87176565109735
Laser2.png,3133.0,1526.108642578125,2.29395202305513,-1.7396621096840976,97.87359842705678
Laser2.png,3134.0,1526.7078857421875,2.2984042195580963,-1.7370481517667498,97.87580206707793
Laser2.png,3135.0,1526.6287841796875,2.302816880144424,-1.7374073216516868,97.876316895241
Laser2.png,3136.0,1527.6143798828125,2.307292258414358,-1.7330998132449595,97.87948262243457
Laser2.png,3137.0,1527.8016357421875,2.311720796958105,-1.7322913143789977,97.88066077305919
Laser2.png,3138.0,1527.594482421875,2.3161261986305486,-1.7332120196908503,97.88085666877174
Laser2.png,3139.0,1527.6986083984375,2.320549997710331,-1.7327679490841263,97.88182783226841
Laser2.png,3140.0,1527.128173828125,2.3249339837582834,-1.7352810521926039,97.88111916661408
Laser2.png,3141.0,1526.7314453125,2.3293282008760743,-1.7370326025947882,97.88084309912117
Laser2.png,3142.0,1526.5941162109375,2.3337377946153604,-1.7376470150389185,97.88121299631113
Laser2.png,3143.0,1526.1981201171875,2.338132035201907,-1.739395311530417,97.88093877389966
Laser2.png,3144.0,1526.0360107421875,2.3425401892693585,-1.7401183916739518,97.8812469459583
Laser2.png,3145.0,1525.7025146484375,2.3469381362730113,-1.741592873762326,97.88112826768594
Laser2.png,3146.0,1525.527099609375,2.3513455310075475,-1.7423742615190256,97.88140332215234
Laser2.png,3147.0,1525.1854248046875,2.3557429857491683,-1.7438844805071627,97.88126434164305
Laser2.png,3148.0,1524.808837890625,2.3601385144893916,-1.7455477506364334,97.88103844198672
Laser2.png,3149.0,1524.6495361328125,2.3645469107649726,-1.7462585776391357,97.8813535870389
Laser2.png,3150.0,1524.3648681640625,2.3689477790179585,-1.7475189958201858,97.88135651463776
Laser2.png,3151.0,1524.280029296875,2.373360896070219,-1.7479035100399856,97.88185707570076
Laser2.png,3152.0,1524.256103515625,2.3777775616764387,-1.748020904012494,97.88250936724968
Laser2.png,3153.0,1524.296142578125,2.382198344696983,-1.7478579981615323,97.88332093966785
Laser2.png,3154.0,1524.355224609375,2.3866201730554275,-1.7476117014753603,97.88417986984639
Laser2.png,3155.0,1524.429443359375,2.3910431838341584,-1.7472989789598823,97.88507658025085
Laser2.png,3156.0,1524.6885986328125,2.395477362681622,-1.7461756356681788,97.88643380701969
Laser2.png,3157.0,1524.96337890625,2.3999128029345176,-1.7449836709310864,97.887830069282
Laser2.png,3158.0,1525.2633056640625,2.4043499062286107,-1.7436815634272784,97.88928892770795
Laser2.png,3159.0,1526.0888671875,2.4088193552908232,-1.7400751718533478,97.89205695510552
Laser2.png,3160.0,1526.4737548828125,2.41326200135439,-1.7384003424922574,97.89372762440752
Laser2.png,3161.0,1526.5792236328125,2.4176876101770466,-1.737950488787368,97.89470235483404
Laser2.png,3162.0,1527.2940673828125,2.422150862190012,-1.7348290020724348,97.8971949848566
Laser2.png,3163.0,1527.3953857421875,2.4265764594973973,-1.7343973306434644,97.89815942476143
Laser2.png,3164.0,1527.4027099609375,2.430996329128767,-1.734377810208451,97.89888971227471
